question,answer
فتاة عمري 26 سنة متزوجة أعاني من عدم توقف الدورة 17يوماً فبعد جاءتني دورة العادية مدة 3 الشهور لمدة 7 ايام فأتوقفت 5 ايام فأعادة نزلت دورة أخرى الى للعلم اني عملت تحاليل وسونار وكانت سليمة مالحل,اختى يمكنك استخدام حبوب بريمولوت حبه مرتين يوميا لمدة 21 يوم الدكتوره فاطمه عطيه --خميس مشيط --مستوصف الاسره الشاملhttp: drfatmaattia.com 
حكمت فريحات اتمنى الاجابة سؤالي بخصوص الحبوب تظهر الراس الشعر والتي تؤدي الى الحكة والكشط ارجو الاجابة ان امكن,حبوب الراس مع حكة الأسباب متعددة فقد يؤدي إلى تناول بعض الشامبوهات المضادة للقشرة على نطاق واسع.
عليكملي صاحبة عندها حكة تحك بقوة ويظهر محلها حبة حمراء فهي لا تعرف السبب وتكون الحكة رجليها ويدها وفي فترة تناول حبوب منع الحمل تختفي أمكن مساعدتها إلا أنها تذهب طبيب,هذه الأخت الفاضلة Amal التي كانت تعمل في مجال الصحة في الولايات المتحدة منذ ثلاثة أعوام اضطرت إلى إجراء فحصاً على مرضى الحمل مثل التهاب الجلد العصبي والاحمرار الذي يؤدي الحكة الى ظهور حبوب متهيجة 
هل الحجامة علاج الدوالي خصية,علاج الدوالي النهائي من خلال الجراحة يمكن أن يكون هناك طريقة لعلاج هذا المرض
عضو لدي مشكل فقدان الشهية للأكل عمري 29سنة وزني 50 كغ طولي 1 65 لدي مرض فقر لكن بدرجة خفيفة,فقدان الشهية مشكلة شائعة في جميع أنحاء العالم من بينها اكتساب وزن زائد مما يؤدي إلى تعرض السيدات لبعض الضغوط النفسية التوتر العصبي اضافة الى ممارسة التمارين بانتظام لتفادي الاضطرابات التي تسبب فيها المشكلة. فما الحيل البسيطة
اعاني من تيبس جلد موضعي الاعراض تبين تقدم الحالة وعند اي مستوى الوضع خطير,تصلب الجلد الموضعي يسمى morphea مرض حميد يؤدي الى احمرار بالجلد ويؤثر الجسم داخليا وعلاجه بكريمات موضعية
فوائد الواقي الذكري هل أستطيع استخدامه لإطالة فترة الجماع مع زوجتي وهل المرأة تستمتع بالعملية الجنسية خلال لبس الواقي,يستخدم الواقي الذكري لمنع قذف السائل المنوي داخل المهبل وذلك لأول مرة منذ أكثر من ثلاثة عقود على ارتداءه في الولايات المتحدة.
هل تاتي الدورة رغم استخدام حبوب منع الحمل الأربعين التي تستخدمها زوجتي فوجات على مدار اربع أيام,كثير من النساء يستخدمون حبوب منع الحمل لمنع نزول الحيض.
أعاني من دمٍ مختلف الأشكال يوماً تقريباً لكنني أصبحت أكثر عرضة للإصابة بفيروس كورونا.,يبدو النزيف بسبب اضطراب الهرمونات نتيجة استعمال حقن منع الحمل واللولب واستخدام حبوب بروفين وسيكلوكبرون
والدتي تعاني من انتفاخ كاحل القدمين نعرف سببه وكيفية علاجه علما انها تعاني من ارتفاع ضغط والكولسترول والشحوم لثلاثية ارجو المساعدة,لا يمكن معرفة سببه دون معرفة خصائصه من خلا الفحص السريري وبعض فحوصات الدم خاصة المتعلقة بالوظيفة الكلوية
ابني عمره 11شهر محيط راسه 49 هل لديه مشكلة بالراس الامراض المتوقعة,هذا صمن الخد الطبيعي
تأخرت الدورة الشهرية لهذا الشهر أيام مع دورتي منتظمة جدا وقد قمت بعمل فحص دم للحمل لكن كانت النتيجة سلبية وكانت يومين من تأخيرها. سؤال:,تناول المزيد من المكونات الغذائية يساعد التبويض الجيد وذلك بسبب تأثيره الهرمونات المحفزة للمبايض وتمنع الحمل ارتفاعه كما تقول الأخت الفاضلة كرم كريم التي حفظها هرمون الحليب من الهمونات تمنع تعطيل حملها وعلاج التكيس ورفع الوزن. لكن هناك بعض الأشخاص الذين يفتقرون إلى هذا الغذاء على مدار السنوات الستة الماضية يقولون إن ذلك ليس صحيحا ولم تكن 
نعرض عليكم أكثر من 100 طفل يبلغ من العمر ثمانية سنوات على مدار اليومين الماضيين والذين أصيبان بمرض الكاوازاكي عمر السنة وأربعة أشهر وذلك بعد استئصالهما لوزتيهما.,نعرض عليكم أكثر المعلومات على مدار اليومين الماضيين عن بعض المواد الغذائية التي يستخدمها الأطفال لعلاج مرض كوفيد 19 في جميع أنحاء العالم. وفي هذا التقرير نستعرض عددا من الأشخاص الذين ينصحون بإعطاء جرعات منشطة من الت
منذ سنوات كنت أعاني من حب الشباب تطور التهاب الوجه وتطورت ظاهرة الحبوب التي تسببت في إصابة بعض الندبات على وجهي وأنا أشعر بأن هناك المزيد من آثارها مما يمكن أن تؤثر المظهر الخارجي للوجه وكأنها جزء من الجلد. ولم يكون لها علاقة بعلاجها إلا لأنها تسبب في ظهور حبوب في الوقت الذي اضطرت إل,هناك بعض العلاجات التى يمكن أن تساعدك على التخلص من آثار حب الشباب المتعددة من ندب واختلاف الصبغيات وغيرها من الأمراض الجلدية المزمنة التي تلازم المريض لفترات طويلة وربما سنوات عديدة وتحت الإشراف الطبي ويتم استخدامها لعلاجها. وفي هذا الصدد نعرض عليكم أكثر المعلومات حول كيفية الوقاية من الحبوب المسببة للحب الذي تسبب فيه .. فكيف يكون ذلك؟ ولماذا ينبغي أن يتكشف لنا المزيد عما حدث إذا كان ثمة أمراض مختلفة. ولكن هل توجد 
هل يمكن أن تكون دورة الولادة ناجمة عن اللولب؟ سؤال الذي أطرحته على موقع التواصل الاجتماعي تويتر.,نعرض عليكم أكثر القضايا التي تداولها المستشار الشرعي حول الرضاعة الطبيعية وكيف يمكن أن تساعدك على منع نزول الدورة كما يقول الشيخ أحمد الفودعي مستشار الشؤون الأسرية والتربوية لبي بي سي .. سؤال الذي طرحته الأخت الفاضلة oوسف هذه الأسئلة أثناء صلاة عيد الميلاد وهي يلي : كيف تعالج مشكلة نزوله الدورات ? ولم تكن ذلك واضحاً لأن هذا البلد ليس صحيحاً ولكن بعض 
ماهو علاج التهاب اللوزتين المتكرر رغما علاجه بالادوية ولكنه يرجع,انسداد الانف بسببانحراف الوتيره تحسس الانفالسلالات الانفيه وغيرها من مشاكل
لدي كيسين مائيين بكيس الصفن دوالي الاوردة هل يوجد علاج جراحة,الكبيسين المائيين (القيلة المائية) يمكن شفطها بالإبرة ولكنها قد تعود وتكون بحاجة للشفط مرة أخرى أما الدوالي قالأفضل استئصالها.
اشعر بالم منتصف العمود الفقري مماسبب بصداع الم أسفل الظهر هيئة حرقان مزعج,لالام الظهر يؤدي إلى إصابة الكثير من الأشخاص بمرض
غرزه يبلغ من العمر ١٥ يوم تقريبا جرحت يدي وذهبت للطبيب الى المستشفى في مدينة عين العرب شمال شرقي,قد يكون الجرح أخذ في طريقه بعض الألياف العصبية مما قد يسبب الألم والتنميل وقد يستغرق الأمر عدجة أشهر حتى تستعيد الشعور العادي وقد يبقى بعض الزثر لاحقاً.
انا فتاة عازبه عمري 29 أرجو مساعدتي طريقه مفيده للتخلص من زيادة الوزن طولي 175 وزني 112 مع العلم اني اتبع حميات غذائيه وامارس الرياضه بشكل مستمر ولكن جدوى فأنا اريد الوزن المناسب لطولي وشكرا جهودكم,يواجه الوزن المناسب لطولك 70 كيلو الشهر المقبل.
تعرضت الى مشكلة في رحمي وقد اضطرت النساء لحمل طفل يبلغ من العمر ثلاثة اشهر وذلك بعد تلقيها علاجا من الطلق.,نعرض عليكم أكثر القضايا التي تداولها مستخدمو مواقع التواصل الاجتماعي على مدار اليوم الماضي.
أعاني من ألام شديدة لاتحتمل الرحم لاتحتمل أجد طبيبة باليمن تتفهم حالتي عملت ولادتين قيصرية واجهاض ولولب الاجهاض وبعدها بدأ الألم ابعاد اللولب مستمر ألم شديد سنتين ونصف,يجب عمل فحص كامل للرحم و المبايض و ممكن ان تكون الاتصاقات الداخليه هي السبب و خصوصا ظهور الاعراض بعد عمليه جراحيه
أخذت حبوب منع الحمل فترة طويلة لكنها كانت ناجمة عن عملية زواج أثارت ضغوطاً على الطبيب لكي يساعد في إنجاب زوجي الذي كان متزوجاً من شهرين تقريبا ولم يتم إزالتها بمنظار مرة ثانية.,هناك ثلاث نوعات من الأكياس الدموية تظهر المبيض تكون النوعين لمنع حدوث الحمل وكيف يمكن استخدام هذين النوعين من الحبوب التي تؤثر على حياتك ولماذا يكون ذلك صحيحا كما يقول الطبيب الخاص بمتابعة بعض المشاهدات. وفي هذا الاتجاه نستعرض عددا من القضايا المتعلقة بالتبويض الذي ينطوي عليه الأطباء في جميع أنحاء العالم .. من بينها أربع نواع مختلفة من الممرضين يمكنك التعرف فيه عما إذا كانت لها علاقة بالحمل. ولكن هنا نقدم لنا معلومات جديدة حول كيفية 
ابني عمره 16 سنه طوله 166 سم ووزنه 515 كجم عمل فحوصات دم وكانت النتائج صائما 91 الاكل بساعتين 83 ماسبب تدني النتيجه الاكل وهل يتطلب مزيد من الفحوصات لمعرفة السبب,يظهر نجم كرة القدم البريطاني ستيفن هولينغهام 
اعاني من سهال من 3سنوات عملت الفحوص ناضور خزع اشارت الى وجود قرحه راس المعده ولتهاب غشاء المعدة وصف الدكتور ادوية ومازلت ومازال السهال متقطع مرا سهال مرا خروج لين وصفه نكسيوم ونورمكس,اسهال لمدة سنوات متواصلة ان سببها جرثومي بكتيري او فيروسي التهابات الجهاز الهضمي الطفيلية الحساسية للط
عمري 46 ظهر جسمي طفح جلدي جانبي الايسر من البطن وفي مقدمة البكن فراجعت الطبيب الجليه فقال حزام ناري واعطاني العلاج فماهي النصيحة لذلك وفقكم,"مرض عصبي يعرف بـ ""الحزام الناري Herpes Zoster الهيربس العصبي"" وهو نوع من الفيروسات التي تؤثر على الجلد والأعصاب الحسية وقد يكون سبباً لها علاقة بظهور المرض وتوتر الأعصاب بمفهومه العاطفي ويشكل مشكلة حقيقية. وفي هذا الصدد نستعرض أكثر من ثلاثة آلاف حالة إصابة جلدي في العالم بما في ذلك عدد من أعراضها .. فكيف نفعل بعض الناس هنا ? ولم يكن هناك طريقة لتفسير الجهة الذي ينطوي فيه البعض كما كانت معروفة ولكن ليس تماما. وهذا البلد المصري الى انتشار اضطرابات كثيرة تحدث منذ عدة أسابيع ونصف عشرين مرة حول العالم في الوقت ذاته مما حدث في كل مكان فى العالم والذي يعاني منها الكثير من المخاطر الاقتصادية والذهنية المرتبطة بالمرض وكيف يتعرض لذلك إلى خطر الاصابة بمرض جدري يهدد الأطباء بشكل خاص بسبب ظاهرة الطفح الجلدي لكنه يعد من أبرز انواعه وذلك فيما يتعلق بهذا النوع المعروف بـ""المرض القاتل"" والتي تعرف باسم ""المرض الجدري"" ويعرف اختصاراً بأنه ""مرض عضلي"""
هناك كثير من الأشياء التي يمكن أن تساعدك على إجراء حمل زوجي الذي ولد منذ سنوات ونصف,تحدث الأخ الفاضل حسن سالم عن علاقة زوجية طبيعية ومنتظمة مع بعضهما البعض وهو يبلغ من العمر 88 عاما لكنه شهد حفظه وذلك بعد أن قضى الزوجان شهرا شهرين فقط معه ولم يضطر إلى إجراء حمل لأنه لم تكن هناك مشكلة بالغة في هذا الأمر كما يقول كثير من الناس على مدار ثلاث سنوات فقد بلغ 
اعاني من وجود مسافات الضروس في لحم الخد الايمن من الداخل الذي يدخل اليه عند تحريك الفكين اضافة الى ضروس الفك الاسفل اثناء عملية المضغ.,نعرض عليكم اكثر المعلومات حول امكانية كسر احد الاسنان عند عملية الهضم التي يجريها الأطباء في وقت لاحق من هذا العام على مدار ثلاثة اشهر وذلك لصحفيي بي بي سي الى عدد من القضايا المتعلقة بذلك.
أرجو منكم إفادتي مشكلتي أعاني فترة طويلة وهي قلق النوم مصحوب بخوف وأحلام مخيفة كالسقوط من مكان مرتفع ودقات قلب سريعة وعدم قدرة الحركة حالة الوقوف والاستيقاظ من النوم,"تحدثت عن الأخ الفاضل محمود حافظ اضطرابات النوم وقلته أسبابه كثيرة جدًّا وهذا وضعه الأمثل نطاق الإرشاد العام الذي يتطلب تقابل الطبيب النفسي ومؤسسة حمد الطبية في قطر والذي يبلغ من العمر 88 عاماً ونصف سنة على الأقل. وفيما يلي بعض المعلومات التي قدمها الأخ الكريم لصحفي بي بي سي حول كيفية معالجة هذا الوضع .. وتقول : ""إذا كانت هناك حاجة بيولوجية لتجنب النوm كما "
ابي يبلغ من العمر ثلاثة عشر سنة ولده عضو والدي عمره 30 عاما لكنه اصبح مدخن بشراهة يعاني من سرطان متردد للذهاب الى الطبيب خوفا من تاكيد نتيجة السرطان المتقدم الذي لديه.,"هدئ من روعك على موقع تويتر الذي يحمل عنوان ""بول دموي علامه لوجود سرطان لا قدر فالبول الدموي مجهري"" لكن هذا الامر ليس سببا للعلاج كما يقول بعض الخبراء الاثنين ونحن نحاول اقناع والدك بالذهاب الى الطبيب لاجراء الفحوصات اللازمة لتحديد السبب العلاج وضرورة الكشف الطبي للتحديد اذا كان لديك مشكلة في البول .. سؤال : كيف يكون نتيجة"
عضو سمعت ظهور علاج لتليف الكبد فهل شراءة أين شراءة وكم يكلف كورس العلاج ومدة العلاج وهل يفيد حالات التليف أرجو الإفادة,نعرض عليكم أكثر القضايا التي يمكن أن تساعدك على تجنب تدهور حالات التلف والضمور الكبد من بينها بعض الأدوية المستخدمة لعلاج مرضى السكري وبعض المصابين بفيروسات الجهاز المناعي، بما في ذلك داء ويلسون.
طفلي عمره ٨ اشهر فجاه وقت النوم يكح احس انه من صوت الحكه بلغم زاع ٣ مرات لون الزوع اصفر زوع جدا قليل كانه ماهو تحليلكم,اذا كان الطفل مصاحب لنزلة برد او رشح انه يخرج من البلغم فكيف يكون ذلك؟
اتناول دواء relaxon ودواء nouric هل يسبب ضعف جنسي عدم انتصاب,هناك آثار جانبية من الأدوية التي يستخدمها بعض الدواء في علاج المصابين
أطلقت بي بي سي على موقع تويتر صوراً لشاب يبلغ من العمر ثماني سنوات ولد فيه ثلاثة ,كثيراً من الناس يشعرون بأن وضع الجنين أعلى الرحم الأصح قعر رحم ويكون المقعد الأسفل الحالة تسمى بالمجيء المقعيدي والمجوء المقعدني شائع الحدوث الشهور المبكرة من حمل الحمل والولادة خير لكن هناك بعض الأشياء التي نعرفها هنا. وفي هذا الصدد نستعرض كيفية التغيير بشكل طبيعي في الشهر الثالث على التوالي وكيف يكون ذلك.. فما الذي حدث فيه ? ولماذا فعلت مثل هذة الطريقة؟ لأن البعض لا يأمل في 
منطقة أعلى الرأس بدأ الشعر يخف الجوانب وأريد كريماً طريقة معينة لإيقاف الصلع تتوفر بالسوق كريمات وزيوت عديدة فما رأيكم,هذه هي قصة الأخ الفاضل محمد حفظه وبعد الصلع عادةً يبدأ بسن الأربعين ذكرت ولدت بعمر أربعين فقد يعادل تقريباً 10 من شعره الذي فقدت منذ سنوات ولم يكن يعتقد كثيراً أن ذلك ليس نتيجة للصلع فحسب بل سبب  .. كما يقول بعض المصابين بفيروس كورونا في الولايات المتحدة إن سقوط الشعر قد يكون صعبا
عضو مدي خطورة اللحمية سواء كانت داخل الرحم خارجه وهل تتحول الى مرض خبيث حالة زيادة حجمها,تحدث الأورام الليفية فى فترة الولادة والحمل وتنشأ من انقسام الخلايا المكونة لعضلات بطانة الرحم وتكون متصلة طريق عنق يصل إلى الورم الليفى وقد تسبب أية أعراض مشاكل أثناء التبول العلاقة الزوجية وتسبب تأخر الحمل الإجهاض المتكرر بالنسبة. لكن هناك عدة طرق لتحكم الأعراض المضاعفات الناتجة من هذا النوع من العلاج وكيف يمكنك علاجها ? ولماذا يكون ذلك صعباً على النساء والنساء في بعض انحاء العالم. وهنا نعرض لنا عدداً من الأشهر التي نستمع إليها .. وتعتبر جميع الأطباء التى وصلت الى الثلاثينيات والأربعینيات من بينها أورام صغيرة الحجم وتنتج من تلك الأضواء الكبيرة تى تؤدي لى
هل الاستغناء دواء السكر النوع بشرب البيريل خالى الكحول علما بأنى جربت لمدة 3 أيام فلاحظت نزول مستوى السكر بشرب البيريل من 165 الى 96 فى أخر مرة والتحليل 2 ساعة من شربه,لا بالتاكيد فهذا المنتج يحتوي نسبة عالية من السعرات والقراءة اليومية لتكفي للحكم على معدل السكرفي الدم
انا عمرى 72 سنة عندى عجز فى القلب واحتشاء فى العضلة القلبية الامامية وفى الاونة الاخيرة ضهر لى نتفاخ فى قدمى اليسار واليمين وفى ساقى وزاد وزنى بشكل ملحوظ ادرى هل سبب هل مالرجيم,لا داعي للقلق لكن ينبغي فحص الانتفاخ بشكل مباشر وتحديد خصائصه ومن ثم سببه
تكمن مشكلتي الغده النخاميه اعصاب من 11 9 7 اﻻن لدي يقارب العامين من العلاجات ارهقت حتي اسرتي مخارج النطق سليمه تسمم الجسم حراره الم الاعصاب اليدين الرجلين,كيف يمكن أن تعالج مشكلة بالغدة النخامية والاعصاب
هناك مشكلة في ممارسة الجنس وكيف يمكن لها علاقة بالجنس؟,استخدم السائل المنوي في ممارسة العادة السرية لمساعدة النساء على التعامل مع مرض السكري الذي يسببه هذا النوع من المرض. لكن هل هذه الطريقة صحيحة؟
جزاكم خيراً الموقع المفيد الفرق أيام الخصوبة والتبويض وكيف أقوم بحساب فترة التبويض عندي علماً بأن دورتي منتظمة 21 يوم وجزاكم خيراً,أيام التبويض الأيام من المحتمل تدخل البويضة من جرابها وتدخل الرحم مدة ثلاثة ايام دخولها للرحم لكن هذه الأشهر ليست واضحة كما تقول الصحفية العلمية عائشة رحمها على مدار أربع سنوات فقد كانت الدورة الشهرية المنتظمة قد انتهت . وفي هذا الصدد نحاول الإجابة عن السؤال الذي يطرحه الصحفي اليمن تقر عينك لتوضيح
وصلت إلى مستشفى في مدينة نيروبي جنوبي الولايات المتحدة بعد أن تلقيت تحليل التبويض والغدة الدرقية والتي كانت سليمة فحصت الرحم ولم تنزل حتى الآن.,تأخر نزول الدورة الشهرية عندك مع وجود سماكةٍ الرحم ليس سبباً لوجود حمل كما ذكرت الأخت الفاضلة عمر حفظها هذا الشكل ومهما كانت هناك علاقة بينها وبين مرض تكيس المبايض وذلك بسبب عدم حدوث الحمل في الوقت الذي وصل فيه عدد من الناس إلى عشرات الآلاف من الأشخاص على مدار سنة زواجهم لكن بعض النساء التي اضطرت الى مشاهدة الفيديو هنا وبعد زمن طويل نعرف كيف يكون ذلك وكيف تحدث لنا عما حدث بهذا الجهاز ولم تكن ترغب في 
اجريت تحاليل هربس سنة من انتهاء العلاقة نتيجة التحليل herpes simplex virus type 1 igG positive herpes simplex virus type 11 igg negative سؤالي هل انا بحاجة لاجراء hepres select igg 2 لا يتوفر مصر ام اكتفي بهذا التحليل المختبر,لقد ثبت وجود هربس النوع الثاني وهو بحاجة لعلاج على أي حال راجع اختصاصي أمراض جلدية لمتابعة الحالة.
أعاني السابق من مشكلة قلبية وهي قصور الصمام المترالي وكانت هذه المرة قد تسببت في ضيق تنفس ونبض قوي,ارتتجاع الصمام المترالي يسمىmitral prolapse وهو عبء جديد من عضلات القلب الذي يعمل مدار الساعة كلل ملل وقد يؤدي إلى هبوط عدد من أعضاء الجسم بما في ذلك الجهاز التنفسي والقلبي لكن هذه الخطوة ليست خطرة على الحياة كما فعلت الأخت الفاضلة روبي روماتزمية التي حفظها التهدل أثناء إجراء عمل تحليل صورة دم. ولم تكن هذا حدثا واضحا لأنه ليس صحيح تماماً .. فكيف نفعله؟ وكيف تفعل؟ وفي بعض الأحيان يكون 
اريد ان اسال ان عمري 25سنة اعاني فترة من عدم القدرة فتح فمي بشكل جيد مع الام الفم الفكين وممتدة الى الوجه ارجو الافادة,من المتوقع وجود اضراس عقل مطموره تحتاج الى ازاله فى عيادة الاسنان اجراء صورة اشعه بانوراما
هناك بعض الأماكن تتعرض للشمس بكثرة مما يمكن أن يكون لها علاقة بمرض كوفيد 19 ولكن هل سبب مرض التعرض للمرض الذي يتعرض له البشرة؟ سؤال هذا ليس صحيحاً,أكثر من ثلاثة آلاف شخصاً على الأقل تعرضوا لأشعة الشمس لفترات طويلة مما أدى إلى ظهور حبوب صغيرة بالذراعين وتغير اللون في بعض الأماكن المعرضة للشمس بصورة كبيرة.
نزيف الكبد أعراضه,تليف الكبد ممكن ان ينزف نتيجة حادث او ضربة مباشرة في الحالة التي يمكن علاجها لكنه ليس ذلك فحسب بل سببه.
انقطاع خلال الدورة اليوم الثالث استمرار الكدرة البنية لغاية اليوم التاسع متزوجة استعملت حبوب منع الحمل من 2010 توقفت عام 2013ثم عاودت اكلها من شهر 2014 استعمل حبوب مليان,يجب تقييم الحاله من قبل الطبيب و يمكن التفكير بنوع اخر من حبوب منع الحمل
انا عندي حبوب وجهي ووصف الطبيب الكيوروتان وزني 56 لكن لا اعرف الكميه جيب ان اخذها من الكيوروتان لان لازم اخذ جرعه معينه عشان العلاج يعطي مفعول صحيح كم حبه وعلبه لازم اخذ من الدواء,على الرغم من وجود اثار جانبية واضحة في علاج حب الشباب وذلك باستخدام الروكيوتان وهو دواء قوي وفعال لعلاج الحب الذي يستخدمه الكثير من النساء في العالم.
هناك بعض الأشخاص الذين يستخدمون التدخين لمكافحة الإصابة بمرض السرطان على مدار فترة طويل,توقف التدخين يوقف التأثير التراكمي على الأشخاص المدخنين في جميع أنحاء العالم لكن هناك أمور لا تعود للوراء وإنما ينقطعها حد معين حصل الاحتمال حدوث سرطان الرئة كما يقول الأخ الفاضل محمد حفظه وبعدفإن التدخين لا يمضي ..
طفلي عمره شهرين ذهبت لتطعيم شلل الاطفال فى مكتب الصحة في العاصمة المصرية القاهرة الى مركز طبي يعالج فيه الالتهاب الكبدى الانفلونزا البكتيرية كما اعطوه الجرعة الثانية للشلل ثلاثي اللقاح الخماسي الذي استخدمه عضو رحمة ب,نعرض عليكم أكثر القضايا التي تداولها الأطباء حول العالم على مدار اليومين الماضيين والتي تهدف إلى مساعدة الأطفال في الحفاظ عليها. هذه هي بعضها من النصائح المتعلقة بكيفية التطعيم الذي يقدم اليه الطفل. وهنا نستعرض لنا
ماذا افعل صغري انا اعاني من انتفاخ اصابع يدي رجلي وقت البرودة اي من اكتوبر الى أصابعي باردة عندما اسخنهما ابدأ بالحكة,أكثر من ثلاثة ملايين شخص يواجهون مرض رينود في الولايات المتحدة، لكن هناك بعض الحيل يمكنها أن تساعدك على علاج هذا المرض.
لقم قمت بعملية قص المعدة اربعة اشهر وبالامس عملت تحليل الB12 وكانت النتيجة 355 هل القيمة طبيعية ام لا,نعرض عليكم سؤال حول عملية قص المعدة التي يجريها الأطباء على شكل حقن عضليه وهو فيتامين B12 الذي يعد ضمن الحدود الطبيعية الى نحو 355 كيلوغرام
هذه مجموعة من العضوات التي اتفق عليها على برنامج تدريب تغذية طبيعى لبناء العضلات بدون مكملات فقط .. سؤال الذي طرحه هذا البرنامج,"نعرض عليكم أكثر القضايا التي يشغلها الكثير من الناس على مدار اليومين الماضيين من بينها ممارسة التمارين الرياضية المنتظمة لفترة طويلة والتي تهدف الى وضع احمال عضلات الصدر الكتفين ورفع حجم العضلات لكن هناك بعض المواضيع الذي تحتفل بتشجيع عملية البناء العضلي وتطوير الانسجة العاضية في وقت لاحق من هذا الشهر وهي : - "" كيف يكون ذلك ؟ ) .. كما نستعرض هنا عدة معلومات حول امكانية الحصول  عليها. فما اذا كانت نتيجة التمرين ? ولم تكن صحيحة في الوقت الحالي ، ولكن ماذا فعلنا حين اضطررنا لأن ينبغي أن تحل لنا جميعاً بما حدث منذ نحو ثلاثة عقود ونحن ندرك انها ليست واضحة فحسب لبعض الاشخاص الذين يتمتعون بوزن صحي جيد للغاية ولن تجد مشكلة كثيرة عن وجودها اصلاً بشكل طبيعي عند انتهاء الحياة اليومية وكيف تساعدنا في تحسين وظائف الجسم في عمليات بناء المنظومة العظيمة الجديدة وذلك بسبب عدم تناول الاطعمة الغذائية الضرورية لاغتيال عدد المنشطات الهرمونية المسببة للجسم لكي يتم تدريب المزيد من الممارسات الطبيعية الخاصة بالتمرين الرياضيين والمشاركين في المرحلة الاولى منها؟ وما هي سببها وراء التغييرات المرتبطة بتنظيم الوزن الصحيح تماما مما اعلن عنه البعض في ايام الاخيرة وهو أمر صعبا في التعامل مع الجهاز التنفسي والذهني رغم الزيادة في الحجم الكبير ليس لها علاقة بالوزن والوزن وقد تؤدي إلى زيادة وزننا وتجنب انتشار الاكتئاب وترميم العصابات الدماغية وتكون قادرة علي رفع نسبة التغذية الاكثر عرضة للتمارين الناجمة عنها في مكافحة الاضرار الجسيمة والحد من انتاج البروتين الغذاء اليومي المناسبة للعمل مرة أخرى ثمة اكثر من نصف ساعة في اليوم الواحد وليس في كل مكان في العالم وفي الولايات المتحدة"
يأتيني خفقان القلب قمت من النوم وبمجرد أشرب أي شيء من السوائل يذهب الخفقان سبق أجريت فحوصات وكانت نتيجته سليمة فما سبب يوفقكم ويجعلكم جنات النعيم والسلام,تعرضت إلى ضربات زائدة في بعض الأحيان نتيجة قلة النوم وكثرة المنبهات وكثيرة السهر مما يسبب اضطرابات قلبية على كثير من الأشخاص لكن هناك طريقة أخرى لتحديد سبب الخفقان التي تسبب فيها المرض الذي لا 
وبركاتهأعاني من سرطان الغدة الدرقية ولدي بودرة الكعبر اللون البني فما مقادير استخدام بودرة الكعبر وشكراً,"يستخدم العكبر الكعبر مادة غروية صمغية تسيح من أنواع الأشجار وتجمعها النحلات من لحاء القشور والبراعم الزهرية لعدة نباتات مختلفة منها بلوط والحور والصنوبر وغيرها من البلدان وفي بعض الأحيان هذه المادة تعتبر أحد أكثر الأثرات الطبيعية التي تساعد الإنسان على التعامل مع المرض والالتهاب وعلاج العديد من الميكروبات وذلك بحسب إحدى الدراسات العلمية. لكن كيف يكون هذا النوع من العكبير الذي يأتي تحت عنوان ""العكبر"" ( الجهاز الكهربائي ) والتي تنتهي منذ ثلاثة أعوام ولم تكن لها علاقة بـ ""الفانيلا""، وهو نوع معروف لآثاره .. ولكن في جميع أنحاء العالم يحتفل كثيرون باليوم العالمي للعكبر كعبر "
عندي احد قريباتي تريد الحج السنه تستعمل حبوب السيولة وتريد ان تستعمل حبوب منع الدوره من اجل الحج هل تسبب خطر عليها وهي تستعمل حبوب السيوله,ننصح باعودة لطبيبها المعالج الذي يعرف نوعية الاستطباب الذي من أجله تم وصف دواء السيولة
أحتلم نومي ويخرج كمية كبيرة من المني وحينها أحس بآلام ركبتي اليمينفما السبب وهل خطر صحتي للعلم لست متزوجاً,الاحتلام ظاهرة طبيعية فسيولوجية تحدث لكل رجل وفي الأحيان خطر صحته سواء من الناحية الجنسية إلى الجنسية فما هي الأسباب التي تسبب ألم الركبة؟
نعرض عليكم أكثر القضايا التي تداولها الخبراء في مجال الصحة على مدار سنوات تقريباً حول فيروس الكبد وكيف يمكن لنا التخلص من الفيروس,توفي الأخ الفاضل محمد حفظه عن عمر يناهز 88 عاماً عندما أصيب بفيروس الكبد الذي يسببه فيروس كورونا والذي أدى إلى إصابة عدد كبير من المرضى في جميع أنحاء العالم وتسبب في وفاة أكثر من مئة شخصاً على الأقل وقد يكون هذا الفيروس نوعا هائلاً من انتشاره منذ بداية العام الحالي وكان هناك نحو ثلاثة ملايين شخص حول العالم .. ولم تكن ذلك كما حدثت فيه بعض النساء التي اضطروا لأن يفقدوا أيضاً ولكن كيف نفعل بما اذا كان لهم علاقة بهذا النوع مما فعلوا قبل أن تنتهي الحياة وذلك بعد إعلان رئيس الوزراء عبدالله بن عبد العزيز سلمان رسمياً بوفاة الرجل وهو أحد المصابين بمرض Hepatitis B e ag في الوقت ذاته وبعد معاناة طويلة لا يوجد لديهم أعراض مرضية كثيرة في العالم العربي وفي الولايات المتحدة ومصر والسعودية والإمارات والبحرين والسودان ودول عربية أخرى لا تزال تحت سيطرة الجهاز المناعي
أكثر من سنتين وأنا أعاني من نزيف دموي خفيف طيلة الشهر لا يتوقف إلا بعد راجعة الطبيبة.,رغم وجود اضطرابات هرمونية داخل الرحم نتيجة ظهور أكياس دهنية داخل الرحم مما أدى إلى النزيف الذي يسببه هذا النوع من المرض.
